Property,Project Name,Type of Property,Transaction Type,City,Area Name,Location,Price,Covered Area,Carpet Area,Carpet Area Unit,Bathroom,Floor No,Ownership Type,Possession Status,furnished Type,isPrimeLocationProperty,Gymnasium,Swimming Pool,Security,Club House,Developer,Maintenance Charges,Maintenance Type,Parking Lot Count,Has Covered Parking,Price per sqm
2 BHK Flat,Kalpnagri Dhaivat,Apartment,Resale,Mumbai,Vaishali Nagar,"Vaishali Nagar, Mumbai",18000000,1150,800,Sq-ft,2,1,,Ready to Move,Furnished,1,0,0,0,0,,,,5,0,15652.17391
2 BHK Flat,,Apartment,Resale,Mumbai,Dahisar East,"Dahisar East, Mumbai",11200000,850,645,Sq-ft,1,2,Freehold,Ready to Move,Unfurnished,1,1,1,1,1,,4000,Monthly,1,0,13176.47059
1 BHK Flat,,Apartment,Resale,Mumbai,Dahisar East,"Dahisar East, Mumbai",7100000,500,475,Sq-ft,1,,Co-operative Society,Ready to Move,Unfurnished,1,0,0,1,0,,,,0,0,14200
1 BHK Flat,,Apartment,Resale,Mumbai,Rawal Pada,"Rawal Pada, Mumbai",8700000,500,350,Sq-ft,1,1,,Ready to Move,Unfurnished,1,0,0,0,0,,,,0,0,17400
2 BHK Flat,,Apartment,Resale,Mumbai,Dahisar East,"Dahisar East, Mumbai",10000000,850,520,Sq-ft,2,3,,Ready to Move,Semi-Furnished,1,0,0,0,0,,,,0,0,11764.70588
2 BHK Flat,Savitri Dham CGHS,Apartment,Resale,Mumbai,Maratha Colony Dahisar,"Maratha Colony Dahisar, Mumbai",16000000,600,,,,,,Ready to Move,,1,0,0,0,0,Namo Realty and Infra LLP,,,0,0,26666.66667
1 BHK Flat,,Apartment,Resale,Mumbai,Dahisar East,"Dahisar East, Mumbai",8000000,500,,,1,4,,Ready to Move,Semi-Furnished,1,0,0,0,0,,,,0,0,16000
1 BHK Flat,,Apartment,Resale,Mumbai,Dahisar East,"Dahisar East, Mumbai",5790000,400,,,1,,,Ready to Move,Semi-Furnished,1,0,0,0,0,,,,0,0,14475
2 BHK Flat,Om Geetanjali CHS,Apartment,Resale,Mumbai,Dahisar East,"Dahisar East, Mumbai",11500000,700,,,2,5,,Ready to Move,Furnished,1,0,0,0,0,Cooperative Group Housing Society,,,0,0,16428.57143
1 BHK Flat,,Apartment,Resale,Mumbai,Dahisar East,"Dahisar East, Mumbai",12800000,525,480,Sq-ft,1,2,,Ready to Move,Semi-Furnished,0,0,0,0,0,,,,0,0,24380.95238
2 BHK Flat,,Apartment,Resale,Mumbai,Dahisar East,"Dahisar East, Mumbai",9500000,800,,,1,4,,Ready to Move,Semi-Furnished,0,0,0,0,0,,,,0,0,11875
1 BHK Flat,,Apartment,Resale,Mumbai,Dahisar East,"Dahisar East, Mumbai",4500000,585,419,Sq-ft,2,10,,Ready to Move,Unfurnished,0,0,0,0,0,,,,1,1,7692.307692
2 BHK Flat,,Apartment,Resale,Mumbai,Dahisar East,"Dahisar East, Mumbai",13500000,950,584,Sq-ft,2,15,Co-operative Society,Ready to Move,Unfurnished,0,1,1,1,1,,4000,Monthly,1,1,14210.52632
1 BHK Flat,,Apartment,Resale,Mumbai,Ashok Van,"Ashok Van, Mumbai",6500000,300,,,1,4,,Ready to Move,Semi-Furnished,0,0,0,0,0,,,,0,0,21666.66667
1 BHK Flat,Orchid Ozone,Apartment,Resale,Mumbai,Dahisar East,"Dahisar East, Mumbai",6000000,585,,,2,6,Freehold,Ready to Move,Unfurnished,0,0,0,0,0,DB Realty Pvt. Ltd.,,,0,0,10256.41026
1 BHK Flat,,Apartment,Resale,Mumbai,Dahisar East,"Dahisar East, Mumbai",7500000,500,,,1,1,,Ready to Move,Semi-Furnished,0,0,0,0,0,,,,1,1,15000
2 BHK Flat,,Apartment,Resale,Mumbai,Dahisar East,"Dahisar East, Mumbai",9800000,500,,,2,4,,Ready to Move,Unfurnished,0,0,0,0,0,,,,0,0,19600
1 BHK Flat,Narmada,Apartment,Resale,Mumbai,Rawal Pada,"Rawal Pada, Mumbai",9300000,595,476,Sq-ft,2,3,Co-operative Society,Ready to Move,Semi-Furnished,0,1,1,1,1,Atul Projects,,,1,0,15630.2521
1 BHK Flat,,Apartment,Resale,Mumbai,Dahisar East,"Dahisar East, Mumbai",11000000,500,,,1,1,,Ready to Move,Unfurnished,0,0,0,0,0,,,,0,0,22000
1 BHK Flat,,Apartment,Resale,Mumbai,Dahisar East,"Dahisar East, Mumbai",7500000,350,,,1,4,Freehold,Ready to Move,Furnished,0,0,0,1,0,,,,0,0,21428.57143
1 BHK Flat,,Apartment,New Property,Mumbai,Dahisar East,"Dahisar East, Mumbai",7570000,510,379,Sq-ft,1,2,Co-operative Society,Ready to Move,Semi-Furnished,0,0,0,0,0,,,,0,0,14843.13725
1 BHK Flat,,Apartment,Resale,Mumbai,Dahisar East,"Dahisar East, Mumbai",8000000,515,,,1,4,,Ready to Move,Semi-Furnished,0,0,0,0,0,,,,0,0,15533.98058
1 BHK Flat,,Apartment,Resale,Mumbai,Dahisar East,"Dahisar East, Mumbai",5500000,575,,,2,15,,Ready to Move,Unfurnished,0,0,0,0,0,,,,0,0,9565.217391
2 BHK Flat,Avirahi Classique,Apartment,Resale,Mumbai,Dahisar East,"Dahisar East, Mumbai",15000000,804,,,2,6,,Ready to Move,Semi-Furnished,0,0,0,0,0,,,,1,0,18656.71642
2 BHK Flat,Timber Green Homes,Apartment,Resale,Mumbai,Dahisar East,"Dahisar East, Mumbai",14500000,850,850,Sq-ft,2,7,,Ready to Move,Semi-Furnished,1,0,0,0,0,Cooperative Group Housing Society,4500,Monthly,0,0,17058.82353
1 BHK Flat,,Apartment,Resale,Mumbai,Dahisar East,"Dahisar East, Mumbai",8750000,450,,,1,7,,Ready to Move,Furnished,1,0,0,0,0,,,,0,0,19444.44444
1 BHK Flat,Lodha Casa Essenza,Apartment,Resale,Mumbai,Dahisar East,"Dahisar East, Mumbai",6900000,585,443,Sq-ft,1,11,Co-operative Society,Ready to Move,Unfurnished,1,1,1,1,1,Lodha,1,Monthly,1,1,11794.87179
2 BHK Flat,,Apartment,Resale,Mumbai,Dahisar East,"Dahisar East, Mumbai",7100000,1000,628,Sq-ft,2,10,Freehold,Ready to Move,Unfurnished,1,1,1,1,1,,3000,Monthly,0,0,7100
2 BHK Flat,,Apartment,Resale,Mumbai,Dahisar East,"Dahisar East, Mumbai",11100000,850,,,2,,,Ready to Move,Semi-Furnished,1,0,0,0,0,,,,0,0,13058.82353
2 BHK Flat,,Apartment,Resale,Mumbai,Anand Nagar,"Anand Nagar, Mumbai",10000000,1000,,,2,7,,Ready to Move,Unfurnished,1,0,0,0,0,,,,0,0,10000
2 BHK Flat,,Apartment,New Property,Mumbai,Dahisar East,"Dahisar East, Mumbai",14500000,750,570,Sq-ft,1,6,Freehold,Ready to Move,Furnished,1,0,0,1,0,,,,0,0,19333.33333
1 BHK Flat,Dahisar Shivangan,Apartment,New Property,Mumbai,Rawal Pada,"Rawal Pada, Mumbai",9000000,615,422,Sq-ft,2,10,Freehold,Under Construction,Unfurnished,1,1,1,1,1,Sahakar Group,2850,Monthly,1,0,14634.14634
2 BHK Flat,,Apartment,Resale,Mumbai,Dahisar East,"Dahisar East, Mumbai",17500000,1180,730,Sq-ft,2,20,Freehold,Ready to Move,Semi-Furnished,1,0,0,0,0,,,,0,0,14830.50847
1 BHK Flat,,Apartment,Resale,Mumbai,Dahisar East,"Dahisar East, Mumbai",7100000,510,,,1,1,Freehold,Ready to Move,Unfurnished,1,0,0,1,0,,,,0,0,13921.56863
1 BHK Flat,,Apartment,Resale,Mumbai,Vaishali Nagar,"Vaishali Nagar, Mumbai",10800000,540,,,1,3,Co-operative Society,Ready to Move,Unfurnished,1,0,0,0,0,,,,0,0,20000
